Node,x,y,Shape_Area,acres,treat
62,-80.52756481,25.40830102,129015.4839,2.961782661,fungicide
63,-80.42461092,25.57413535,219338.2067,5.035303344,stumping
64,-80.49466027,25.51951983,76670.1447,1.760101178,stumping
65,-80.49090964,25.61863327,213231.4671,4.895112144,nothing
66,-80.43053011,25.59074468,43402.96661,0.996393224,stumping
67,-80.49646527,25.55667017,870809.9967,19.99101093,stumping
68,-80.48449061,25.50001033,105923.9242,2.431674343,nothing
69,-80.50468443,25.50572869,110319.2135,2.53257612,fungicide
70,-80.48482121,25.54073732,265724.2132,6.100177618,nothing
71,-80.50110136,25.56943958,218502.7065,5.016122933,fungicide
72,-80.43889735,25.55285364,452616.9226,10.39063617,stumping
73,-80.49343419,25.50502517,38328.82893,0.87990726,scout & rogue
74,-80.44412921,25.51658399,111542.6044,2.560661261,scout & rogue
75,-80.51545679,25.4814683,207626.5426,4.766441013,nothing
76,-80.51712629,25.50685641,308580.1793,7.08401346,fungicide
77,-80.52658335,25.41478217,103270.8025,2.370767159,fungicide
78,-80.5351012,25.51973811,221734.9997,5.090326041,stumping
79,-80.44874814,25.51536667,113609.3619,2.608107399,nothing
80,-80.49867867,25.5776997,3448181.302,79.15920851,stumping
81,-80.52820394,25.53445139,216080.0959,4.960507546,scout & rogue
82,-80.51340415,25.58450163,108401.5569,2.488552861,nothing
83,-80.51969012,25.50853112,698893.8653,16.04436669,nothing
84,-80.51311574,25.55990434,218622.1078,5.018864004,fungicide
85,-80.53358891,25.54754765,48182.90465,1.106125305,stumping
86,-80.49519921,25.51776479,243526.0289,5.59057834,fungicide
87,-80.51243721,25.59095114,102160.285,2.345273231,stumping
88,-80.43430498,25.5500984,414607.2505,9.518055728,fungicide
89,-80.52226984,25.54455921,451393.6638,10.36255406,scout & rogue
90,-80.44949078,25.51236333,7875.276949,0.180791158,fungicide
91,-80.52403549,25.57742239,274939.8848,6.311739947,nothing
92,-80.52022646,25.54833522,1390674.023,31.92542541,scout & rogue
93,-80.5316682,25.52960065,98927.50122,2.27105886,nothing
94,-80.40017412,25.55236302,207677.3124,4.767606525,fungicide
95,-80.53357284,25.52501833,104373.7859,2.396088128,fungicide
96,-80.52760863,25.52481653,219761.1363,5.045012454,stumping
97,-80.51545581,25.47586482,219110.1147,5.030067081,fungicide
98,-80.47064565,25.51474012,467323.4524,10.72825103,fungicide
99,-80.51379543,25.56702707,103082.8618,2.366452642,nothing
100,-80.52355781,25.52371138,110156.6887,2.528845071,stumping
101,-80.46881772,25.59184638,221770.8467,5.091148974,fungicide
102,-80.52775741,25.43480188,1749098.842,40.1537123,nothing
103,-80.47080257,25.53078281,200681.9302,4.607014935,nothing
104,-80.46282552,25.5536967,76381.85746,1.753483025,nothing
105,-80.48893181,25.51460996,414537.8549,9.516462627,scout & rogue
106,-80.51057622,25.44582986,881042.6262,20.22591936,fungicide
107,-80.52552214,25.52483786,206700.6923,4.745186453,nothing
108,-80.41947235,25.59423318,2056514.027,47.21098122,fungicide
109,-80.48798827,25.49241002,22258.32028,0.510979807,nothing
110,-80.52889771,25.55595864,426080.8906,9.781453789,nothing
111,-80.41031954,25.59516541,98807.3059,2.26829956,stumping
112,-80.50642562,25.42391389,2663864.35,61.15380111,nothing
113,-80.51556155,25.42982948,473209.4711,10.86337519,fungicide
114,-80.48009915,25.53344404,419410.1843,9.628315719,fungicide
115,-80.52919715,25.54397412,52671.01851,1.209158038,fungicide
116,-80.47486522,25.52616688,226609.7719,5.202235212,fungicide
117,-80.46978852,25.59040372,84696.88176,1.944369375,stumping
118,-80.51743802,25.59181953,108523.2741,2.491347099,fungicide
119,-80.49347978,25.53143317,20161.67102,0.462847449,nothing
120,-80.50934134,25.52589324,208559.7704,4.787864937,fungicide
121,-80.46213042,25.49508853,217531.6942,4.993831597,stumping
122,-80.50772684,25.61639897,111941.5378,2.569819495,scout & rogue
123,-80.53257973,25.42172349,99404.53928,2.282010127,nothing
124,-80.55129312,25.5180317,202211.7901,4.642135623,scout & rogue
125,-80.42210119,25.54658026,171132.5788,3.928656385,nothing
126,-80.47878064,25.57089839,74361.74188,1.707107636,scout & rogue
127,-80.4861977,25.48851161,85882.13607,1.971579021,stumping
128,-80.48489995,25.57687686,220403.2475,5.059753272,fungicide
129,-80.41439387,25.5902316,204270.7988,4.689403874,stumping
130,-80.48780786,25.52058213,55449.62268,1.272945898,stumping
131,-80.41382217,25.58703537,232836.6041,5.345183353,scout & rogue
